Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
16,0.32,Premium,E,I1,60.9,58.0,345,4.38,4.42,2.68
19,0.3,Good,J,SI1,63.8,56.0,351,4.23,4.26,2.71
21,0.3,Good,I,SI2,63.3,56.0,351,4.26,4.3,2.71
43,0.26,Good,D,VS2,65.2,56.0,403,3.99,4.02,2.61
53,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2.72
62,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66
115,0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6
175,0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58
244,0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72
270,0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55
374,0.81,Very Good,F,SI1,63.1,59.0,2809,5.85,5.79,3.67
380,0.74,Ideal,D,SI2,61.7,55.0,2810,5.81,5.85,3.6
432,0.75,Premium,E,SI1,61.1,59.0,2814,5.86,5.83,3.57
473,1.0,Fair,H,SI2,65.3,62.0,2818,6.34,6.12,4.08
505,0.7,Good,E,SI1,61.4,64.0,2822,5.71,5.66,3.49
602,0.7,Very Good,E,SI1,63.5,59.0,2838,5.53,5.49,3.5
691,0.74,Ideal,G,SI1,61.3,55.0,2852,5.85,5.86,3.59
819,0.72,Premium,E,SI1,60.9,60.0,2863,5.78,5.74,3.51
1019,0.75,Ideal,G,SI1,61.6,55.0,2902,5.82,5.86,3.6
1047,0.7,Ideal,F,VS2,62.3,53.0,2907,5.69,5.73,3.56
1068,0.31,Ideal,I,VS2,59.9,57.0,558,4.4,4.38,2.63
1183,0.9,Very Good,E,SI2,58.7,63.0,2930,6.23,6.2,3.65
1201,0.8,Premium,H,VS1,62.0,60.0,2935,5.92,5.86,3.65
1307,0.7,Very Good,F,VS2,62.4,57.0,2956,5.67,5.71,3.55
1320,0.98,Fair,F,SI2,61.6,66.0,2958,6.46,6.24,3.92
1390,0.24,Ideal,G,VVS1,62.2,56.0,559,4.0,4.04,2.5
1450,0.91,Ideal,I,SI2,63.0,54.0,2976,6.17,6.12,3.86
1528,1.02,Fair,H,I1,61.5,60.0,2999,6.4,6.34,3.92
1695,0.92,Fair,I,VS2,64.4,58.0,3033,6.13,6.1,3.94
1742,0.76,Ideal,H,VS2,61.4,57.0,3038,5.85,5.88,3.6
1770,0.91,Premium,G,SI2,60.1,62.0,3047,6.24,6.2,3.73
1845,0.7,Very Good,E,VS1,62.2,57.0,3063,5.63,5.68,3.52
1889,0.7,Very Good,D,SI1,62.4,57.0,3075,5.64,5.67,3.53
1980,0.7,Ideal,D,VS2,62.3,55.0,3092,5.67,5.7,3.54
1984,0.72,Ideal,E,VVS2,62.1,57.0,3093,5.76,5.74,3.57
1998,1.29,Good,I,I1,64.2,54.0,3098,6.93,6.83,4.42
2034,0.9,Good,H,SI2,64.1,58.0,3105,6.05,6.02,3.87
2093,0.78,Very Good,G,VS2,62.6,58.0,3113,5.81,5.89,3.66
2179,0.8,Premium,G,VS2,59.6,59.0,3136,6.09,6.0,3.6
2181,1.0,Premium,E,I1,62.3,58.0,3136,6.38,6.33,3.96
2190,0.71,Ideal,D,VS2,62.3,56.0,3137,5.68,5.72,3.55
2413,0.74,Very Good,E,VS2,61.8,58.0,3180,5.79,5.82,3.59
2486,0.73,Ideal,D,SI1,62.4,53.0,3195,5.79,5.82,3.62
2500,0.73,Ideal,E,VS2,62.2,59.0,3198,5.74,5.77,3.58
2503,0.83,Ideal,F,SI1,62.1,55.0,3198,6.05,6.0,3.74
2548,0.83,Very Good,F,SI1,63.0,55.0,3207,5.95,5.96,3.75
2560,0.8,Ideal,D,SI2,61.9,54.0,3210,5.95,6.0,3.7
2562,0.71,Ideal,G,VVS1,62.6,56.0,3210,5.65,5.69,3.55
2593,0.9,Very Good,F,SI2,62.8,54.0,3217,6.05,6.15,3.83
2600,0.77,Ideal,E,SI1,61.6,57.0,3218,5.91,5.87,3.63
2792,0.78,Very Good,D,SI1,62.5,58.0,3258,5.86,5.89,3.67
2924,1.03,Premium,I,SI1,58.4,60.0,3288,6.6,6.58,3.85
2995,0.9,Good,I,VS2,63.8,55.0,3303,6.07,6.16,3.9
3083,1.02,Premium,H,SI2,58.3,59.0,3313,6.61,6.57,3.84
3111,0.53,Ideal,E,VVS1,61.5,54.0,3323,5.23,5.25,3.22
3123,0.78,Ideal,G,VS2,62.6,57.0,3325,5.87,5.91,3.69
3176,0.81,Ideal,E,SI1,61.3,57.0,3338,6.08,6.03,3.71
3357,0.71,Ideal,E,VS2,61.6,56.0,3381,5.71,5.75,3.53
3426,0.7,Ideal,G,VS1,60.6,57.0,3384,5.73,5.79,3.5
3453,0.74,Ideal,G,VVS1,62.1,56.0,3388,5.78,5.82,3.6
3479,1.05,Very Good,J,SI2,60.9,60.0,3395,6.51,6.59,3.99
3488,0.9,Very Good,I,VS2,62.4,58.0,3398,6.12,6.16,3.83
3573,0.96,Very Good,D,SI2,60.2,63.0,3419,6.36,6.3,3.81
3581,1.01,Premium,J,SI2,63.0,60.0,3421,6.38,6.31,4.0
3597,1.09,Good,G,SI2,57.4,61.0,3424,6.82,6.75,3.89
3606,1.0,Fair,J,SI1,64.9,58.0,3427,6.29,6.23,4.06
3607,1.0,Very Good,G,SI2,58.2,63.0,3427,6.53,6.49,3.79
3719,0.9,Good,F,SI2,63.9,55.0,3453,6.15,6.12,3.92
3727,0.3,Good,D,VS2,63.1,58.0,568,4.26,4.3,2.7
3745,0.3,Premium,F,VS1,61.0,58.0,570,4.33,4.36,2.65
3821,0.73,Ideal,E,VS2,61.7,57.0,3470,5.75,5.78,3.55
3886,1.01,Good,E,I1,61.5,65.0,3484,6.28,6.21,3.84
4040,1.0,Good,I,SI2,63.9,60.0,3528,6.3,6.26,4.01
4057,0.36,Ideal,G,SI1,61.5,54.0,571,4.6,4.63,2.84
4060,0.32,Ideal,G,SI1,62.6,55.0,571,4.41,4.38,2.75
4065,0.31,Ideal,D,SI1,62.3,54.0,571,4.33,4.37,2.71
4163,0.92,Premium,D,SI2,62.5,59.0,3550,6.24,6.2,3.89
4322,0.9,Very Good,G,SI1,61.6,59.0,3597,6.13,6.19,3.8
4335,1.05,Premium,G,SI2,60.7,61.0,3599,6.56,6.52,3.97
4421,0.7,Ideal,E,VS2,61.7,55.0,3612,5.7,5.74,3.53
4451,0.91,Premium,F,SI2,61.4,60.0,3618,6.23,6.21,3.82
4457,1.01,Good,I,VS2,63.6,57.0,3620,6.3,6.21,3.98
4510,0.74,Ideal,E,VVS2,61.9,57.0,3633,5.79,5.81,3.59
4645,0.9,Good,G,SI1,63.7,60.0,3669,6.11,6.07,3.88
4721,0.37,Ideal,F,SI2,60.9,56.0,572,4.65,4.68,2.84
4743,0.9,Very Good,G,SI1,63.0,57.0,3681,6.13,6.19,3.88
4764,0.9,Good,D,SI1,64.1,56.0,3689,6.07,6.04,3.88
4781,0.97,Ideal,H,SI2,61.6,55.0,3694,6.37,6.32,3.91
4831,0.85,Very Good,F,VS2,62.2,56.0,3705,6.01,6.08,3.76
