Rainfall - (MM), Year, Statistics, Country
11.8792,1991, Jan , India
12.3276,1991, Feb , India
13.4113,1991, Mar , India
41.9814,1991, Apr , India
55.3486,1991, May , India
175.103,1991, Jun , India
221.356,1991, Jul , India
246.72,1991, Aug , India
131.845,1991, Sep , India
58.2944,1991, Oct , India
37.7129,1991, Nov , India
11.6599,1991, Dec , India
13.3135,1992, Jan , India
14.8104,1992, Feb , India
10.5157,1992, Mar , India
14.0558,1992, Apr , India
48.2371,1992, May , India
94.4788,1992, Jun , India
213.227,1992, Jul , India
247.15,1992, Aug , India
163.742,1992, Sep , India
56.6009,1992, Oct , India
36.839,1992, Nov , India
3.47422,1992, Dec , India
7.08936,1993, Jan , India
13.8096,1993, Feb , India
22.6534,1993, Mar , India
22.8153,1993, Apr , India
59.0899,1993, May , India
149.555,1993, Jun , India
243.939,1993, Jul , India
180.132,1993, Aug , India
195.789,1993, Sep , India
74.8534,1993, Oct , India
22.3395,1993, Nov , India
13.1382,1993, Dec , India
20.7536,1994, Jan , India
17.6468,1994, Feb , India
13.4268,1994, Mar , India
34.6886,1994, Apr , India
46.0465,1994, May , India
170.217,1994, Jun , India
320.451,1994, Jul , India
264.373,1994, Aug , India
135.528,1994, Sep , India
83.6267,1994, Oct , India
24.4985,1994, Nov , India
5.48352,1994, Dec , India
24.915,1995, Jan , India
16.8758,1995, Feb , India
21.114,1995, Mar , India
20.2405,1995, Apr , India
48.1721,1995, May , India
127.382,1995, Jun , India
286.934,1995, Jul , India
247.981,1995, Aug , India
176.858,1995, Sep , India
75.5371,1995, Oct , India
27.4295,1995, Nov , India
3.98088,1995, Dec , India
16.6447,1996, Jan , India
13.0873,1996, Feb , India
16.1319,1996, Mar , India
34.9378,1996, Apr , India
45.8161,1996, May , India
169.76,1996, Jun , India
233.514,1996, Jul , India
253.446,1996, Aug , India
135.761,1996, Sep , India
97.1727,1996, Oct , India
12.9886,1996, Nov , India
8.436,1996, Dec , India
9.97814,1997, Jan , India
4.25303,1997, Feb , India
16.5465,1997, Mar , India
41.4989,1997, Apr , India
41.206,1997, May , India
147.688,1997, Jun , India
211.289,1997, Jul , India
274.543,1997, Aug , India
150.846,1997, Sep , India
59.2649,1997, Oct , India
58.778,1997, Nov , India
35.0635,1997, Dec , India
7.13527,1998, Jan , India
18.4381,1998, Feb , India
25.6106,1998, Mar , India
37.7973,1998, Apr , India
52.342,1998, May , India
133.287,1998, Jun , India
267.058,1998, Jul , India
244.708,1998, Aug , India
183.634,1998, Sep , India
103.845,1998, Oct , India
42.693,1998, Nov , India
11.2335,1998, Dec , India
9.27938,1999, Jan , India
12.4133,1999, Feb , India
3.69573,1999, Mar , India
16.1964,1999, Apr , India
70.4075,1999, May , India
139.2,1999, Jun , India
247.489,1999, Jul , India
206.223,1999, Aug , India
177.704,1999, Sep , India
101.431,1999, Oct , India
13.1463,1999, Nov , India
4.0199,1999, Dec , India
8.59847,2000, Jan , India
18.9029,2000, Feb , India
10.2599,2000, Mar , India
30.2531,2000, Apr , India
72.1259,2000, May , India
168.978,2000, Jun , India
251.857,2000, Jul , India
225.712,2000, Aug , India
125.34,2000, Sep , India
42.3882,2000, Oct , India
13.011,2000, Nov , India
6.28185,2000, Dec , India
6.57839,2001, Jan , India
4.5529,2001, Feb , India
13.2803,2001, Mar , India
31.7141,2001, Apr , India
70.0352,2001, May , India
191.391,2001, Jun , India
233.962,2001, Jul , India
202.084,2001, Aug , India
90.1215,2001, Sep , India
86.7518,2001, Oct , India
18.1916,2001, Nov , India
5.78814,2001, Dec , India
11.7912,2002, Jan , India
12.6089,2002, Feb , India
13.9224,2002, Mar , India
32.3726,2002, Apr , India
51.9638,2002, May , India
154.461,2002, Jun , India
133.503,2002, Jul , India
236.6,2002, Aug , India
120.785,2002, Sep , India
64.4428,2002, Oct , India
24.7672,2002, Nov , India
5.18433,2002, Dec , India
7.40051,2003, Jan , India
30.5634,2003, Feb , India
17.8057,2003, Mar , India
26.8411,2003, Apr , India
27.9507,2003, May , India
149.982,2003, Jun , India
292.677,2003, Jul , India
196.482,2003, Aug , India
149.575,2003, Sep , India
90.3734,2003, Oct , India
12.9583,2003, Nov , India
9.18084,2003, Dec , India
15.1739,2004, Jan , India
3.58617,2004, Feb , India
7.44911,2004, Mar , India
