Kilometres,Zone,Bonus,Make,Insured,Claims,Payment
1,1,1,1,455.13,108,392491
1,1,1,2,69.17,19,46221
1,1,1,3,72.88,13,15694
1,1,1,4,1292.39,124,422201
1,1,1,5,191.01,40,119373
1,1,1,6,477.66,57,170913
1,2,5,9,5481.31,282,1079230
1,2,6,1,996.27,61,236220
1,2,6,2,175.14,10,25036
1,2,6,3,111.97,5,22261
1,2,6,4,601.61,16,88961
1,2,6,5,260.69,14,64368
1,2,6,6,593.18,17,65578
1,2,6,7,229.72,7,46244
1,2,6,8,46.66,7,14385
1,2,6,9,9830.72,413,1840742
1,2,7,1,6021.43,233,1086534
1,2,7,2,852.8,33,165960
1,2,7,3,751.59,24,100564
1,2,7,4,3293.99,60,201401
1,2,7,5,1289.09,53,272610
1,2,7,6,3665.27,97,524316
1,2,7,7,1369.91,35,159658
1,2,7,8,183.98,5,18603
1,2,7,9,55084.54,1744,8500391
1,3,1,1,453.06,72,329632
1,3,1,2,67.13,9,79565
1,3,1,3,35.22,5,11746
1,3,1,4,1653.17,89,338305
1,3,1,5,206.62,38,124108
1,3,1,6,859.95,64,213078
1,3,1,7,110.08,11,34844
1,3,1,8,25.92,5,25319
1,3,1,9,11436.08,1205,5173923
1,3,2,1,317.1,25,90162
1,3,6,4,639.97,12,64278
1,3,6,5,307.56,14,90310
1,3,6,6,740.33,24,117763
1,3,6,7,233.83,7,20303
1,3,6,8,53.41,3,6221
1,3,6,9,10263.04,393,2026554
1,3,7,1,7155.96,197,980780
1,3,7,2,999.32,32,168854
1,3,7,3,1049.99,19,41459
1,3,7,4,3712.23,67,229231
1,3,7,5,1862.44,74,388511
1,3,7,6,4964,121,622350
1,3,7,7,1785.23,58,253660
1,3,7,8,331.45,8,94395
1,3,7,9,65617.47,1865,9884008
1,4,1,1,868.6,115,627513
1,4,1,2,122.54,10,113492
1,4,1,3,55.08,3,33925
1,4,1,4,2751.7,98,578698
1,4,1,5,328.36,36,149698
1,4,1,6,1730.51,105,604161
1,4,1,7,231.91,13,55103
1,4,1,8,48.77,4,34267
1,4,1,9,20153.28,1446,6605073
1,4,2,1,622.23,41,300510
1,4,2,2,94.03,5,11936
1,4,2,3,36.73,2,6387
1,4,2,4,2037.95,48,152944
1,4,2,5,189.27,17,40047
1,4,2,6,1217.01,65,344450
1,4,2,7,155.5,16,113524
1,4,2,8,27.27,0,0
1,4,2,9,14648.2,645,3150912
1,4,3,1,613.17,32,168882
1,4,3,2,108.4,5,43676
1,4,3,3,37.2,0,0
1,4,3,4,1447.58,25,66208
1,4,3,5,168.81,8,30465
1,4,3,6,933.44,40,374818
1,4,3,7,153.11,5,38157
1,4,3,8,32.44,2,8234
1,4,3,9,11314.54,427,2035982
1,4,4,1,573.86,29,214513
1,4,4,2,103.82,4,12077
1,4,4,3,49.14,2,12947
1,4,4,4,970.81,20,77705
1,4,4,5,135.49,6,16781
1,4,4,6,740.62,25,87155
1,4,4,7,123.63,3,11469
1,4,4,8,36.98,1,2572
1,4,4,9,8785.71,291,1189357
1,4,5,1,783.1,28,97770
1,4,5,2,127.17,7,21026
1,4,5,3,86.26,4,15583
1,4,5,4,886.11,16,71474
1,4,5,5,200.68,14,74804
1,4,5,6,825.58,16,76879
1,4,5,7,185.36,3,6085
1,4,5,8,53.05,1,6827
1,4,5,9,9849.89,324,1672294
1,4,6,1,1839.13,72,505590
1,4,6,2,298.73,5,16182
1,4,6,3,234.01,8,42369
1,4,6,4,1047.27,22,147524
1,4,6,5,481.63,16,70430
1,4,6,6,1317.07,34,162323
1,4,6,7,360.55,9,127814
1,4,6,8,90.61,7,80134
1,4,6,9,17332.9,535,2833885
1,4,7,1,15297.44,389,2505764
1,4,7,2,2085.44,65,296375
1,4,7,3,2140.94,38,253490
1,4,7,4,6923.74,100,435674
1,4,7,5,3721.62,115,641018
1,4,7,6,10409.88,194,1070372
1,4,7,7,3252.99,86,317119
1,4,7,8,768.54,23,160411
1,4,7,9,127687.27,2894,15540162
1,5,1,1,161.19,22,112479
1,5,1,2,15.53,2,1668
1,5,1,3,6.07,0,0
1,5,1,4,454.21,15,61507
1,5,1,5,69.38,13,83497
1,5,1,6,301.14,21,87734
1,5,1,7,47.82,6,51950
1,5,1,8,10.84,0,0
1,5,1,9,3645.26,407,1855941
1,5,2,1,132.69,7,27325
1,5,2,2,17.31,1,1554
1,5,2,3,4.2,0,0
1,5,2,4,324.26,10,22854
1,5,2,5,51.8,4,40692
1,5,2,6,218.84,12,88266
1,5,2,7,39.68,3,38808
1,5,2,8,12.15,1,1029
1,5,2,9,2694.25,174,616744
1,5,3,1,122.86,8,51943
1,5,3,2,21.15,0,0
1,5,3,3,5.15,0,0
1,5,3,4,240.23,6,13492
1,5,3,5,38.15,6,16170
1,5,3,6,173.78,4,17523
1,5,3,7,30.43,2,6421
1,5,3,8,4.82,1,31442
1,5,3,9,1993.33,117,481752
1,5,4,1,116.24,3,7229
1,5,4,2,16.48,1,1000
1,5,4,3,9.31,1,9867
1,6,6,1,560.62,17,107765
1,6,6,2,88.23,0,0
1,6,6,3,55.88,3,4731
1,6,6,4,274.15,3,10929
1,6,6,5,186,9,16980
1,6,6,6,424.38,12,62560
1,6,6,7,141.38,4,39806
1,6,6,8,60.89,3,4512
1,6,6,9,5248.1,187,1066083
