Date,Average kWh,Fuel Charge (Cents/kWh),Average Bill ($)
03-01-2016 00:00,602,3.139,55.46
02-01-2016 00:00,663,3.139,61.99
01-01-2016 00:00,788,3.139,75.38
12-01-2015 00:00,657,3.139,61.34
11-01-2015 00:00,673,3.139,63.07
10-01-2015 00:00,987,3.945,99.97
09-01-2015 00:00,1247,3.945,156.81
08-01-2015 00:00,1356,3.945,172.65
07-01-2015 00:00,1164,3.945,144.74
06-01-2015 00:00,916,3.945,109.61
05-01-2015 00:00,715,3.945,69.93
04-01-2015 00:00,643,3.945,62
03-01-2015 00:00,773,3.945,76.34
02-01-2015 00:00,703,3.945,68.6
01-01-2015 00:00,924,3.945,93.01
12-01-2014 00:00,674,3.945,65.41
11-01-2014 00:00,736,3.945,72.76
10-01-2014 00:00,883,3.709,86.08
09-01-2014 00:00,1313,3.709,162.84
08-01-2014 00:00,1265,3.709,156
07-01-2014 00:00,1182,3.709,144.15
06-01-2014 00:00,970,3.709,114.23
05-01-2014 00:00,726,3.709,69.18
04-01-2014 00:00,625,3.709,58.3
03-01-2014 00:00,693,3.709,65.61
02-01-2014 00:00,837,3.709,81.13
01-01-2014 00:00,954,3.709,93.72
12-01-2013 00:00,828,3.709,80.15
11-01-2013 00:00,666,3.709,62.72
10-01-2013 00:00,940,3.372,87.39
09-01-2013 00:00,1295,3.372,153.62
08-01-2013 00:00,1382,3.372,165.58
07-01-2013 00:00,1281,3.372,151.69
06-01-2013 00:00,1071,3.372,122.81
05-01-2013 00:00,733,3.372,66.17
04-01-2013 00:00,630,3.372,55.6
03-01-2013 00:00,617,3.372,54.26
02-01-2013 00:00,651,3.372,57.76
01-01-2013 00:00,903,3.372,83.59
12-01-2012 00:00,659,3.372,58.57
11-01-2012 00:00,735,3.375,66.37
10-01-2012 00:00,871,3.372,80.31
09-01-2012 00:00,1281,3.372,132.98
08-01-2012 00:00,1380,3.615,144.44
07-01-2012 00:00,1304,3.615,135.64
06-01-2012 00:00,1175,3.615,120.7
05-01-2012 00:00,865,3.615,84.81
04-01-2012 00:00,731,3.615,65.13
03-01-2012 00:00,683,3.615,60.44
02-01-2012 00:00,663,3.615,58.48
01-01-2012 00:00,882,3.615,74.03
12-01-2011 00:00,710,3.615,63.08
11-01-2011 00:00,732,3.615,65.23
10-01-2011 00:00,993,3.615,93.95
09-01-2011 00:00,1565,3.105,156.91
08-01-2011 00:00,1527,3.105,152.73
07-01-2011 00:00,1481,3.105,147.66
06-01-2011 00:00,1213,3.105,118.16
05-01-2011 00:00,901,3.105,83.82
04-01-2011 00:00,713,3.105,59.3
03-01-2011 00:00,701,3.105,58.19
02-01-2011 00:00,884,3.105,75.04
01-01-2011 00:00,862,3.105,73.01
12-01-2010 00:00,736,3.653,65.45
11-01-2010 00:00,696,3.653,61.54
10-01-2010 00:00,946,3.653,93.18
09-01-2010 00:00,1411,3.653,146.53
08-01-2010 00:00,1336,3.653,137.93
07-01-2010 00:00,1321,3.653,136.21
06-01-2010 00:00,1098,3.653,110.62
05-01-2010 00:00,707,3.653,65.76
04-01-2010 00:00,628,3.653,54.4
03-01-2010 00:00,807,3.653,71.71
02-01-2010 00:00,808,3.653,71.81
01-01-2010 00:00,997,3.653,90.09
12-01-2009 00:00,753,3.653,66.49
11-01-2009 00:00,682,3.653,59.62
10-01-2009 00:00,924,3.653,90.66
09-01-2009 00:00,1353,3.653,139.88
08-01-2009 00:00,1457,3.653,151.81
07-01-2009 00:00,1511,3.653,158.01
06-01-2009 00:00,1115,3.653,112.57
05-01-2009 00:00,794,3.653,75.75
04-01-2009 00:00,664,3.653,57.88
03-01-2009 00:00,653,3.653,56.81
02-01-2009 00:00,708,3.653,62.13
01-01-2009 00:00,906,3.653,81.29
12-01-2008 00:00,732,3.653,64.46
11-01-2008 00:00,686,3.653,60.01
10-01-2008 00:00,1004,3.653,99.84
09-01-2008 00:00,1306,3.653,134.49
08-01-2008 00:00,1407,3.653,146.08
07-01-2008 00:00,1413,3.653,146.76
06-01-2008 00:00,1233,3.653,126.11
05-01-2008 00:00,792,3.653,75.52
04-01-2008 00:00,684,3.653,59.81
03-01-2008 00:00,704,3.653,61.75
02-01-2008 00:00,814,3.653,72.39
01-01-2008 00:00,911,3.653,81.77
12-01-2007 00:00,798,3.044,65.98
11-01-2007 00:00,779,3.044,64.26
10-01-2007 00:00,1092,3.044,103.28
09-01-2007 00:00,1314,3.044,127.4
08-01-2007 00:00,1232,3.044,118.49
07-01-2007 00:00,1163,3.044,111
06-01-2007 00:00,1036,3.044,97.2
05-01-2007 00:00,765,3.343,70.05
04-01-2007 00:00,678,3.343,57.13
03-01-2007 00:00,731,3.343,62.09
02-01-2007 00:00,908,3.343,78.67
01-01-2007 00:00,909,3.343,78.76
12-01-2006 00:00,776,3.634,68.57
11-01-2006 00:00,730,3.634,64.12
10-01-2006 00:00,1063,3.634,106.41
09-01-2006 00:00,1424,3.634,147.75
08-01-2006 00:00,1428,3.634,148.21
07-01-2006 00:00,1354,3.634,139.74
06-01-2006 00:00,1175,3.634,119.23
05-01-2006 00:00,891,3.634,86.71
04-01-2006 00:00,768,3.634,67.79
03-01-2006 00:00,757,3.634,66.73
02-01-2006 00:00,665,3.634,57.85
01-01-2006 00:00,796,3.634,70.5
12-01-2005 00:00,820,2.796,65.94
11-01-2005 00:00,737,2.796,58.62
10-01-2005 00:00,1218,2.796,113.95
09-01-2005 00:00,1430,2.796,136.46
08-01-2005 00:00,1324,2.796,125.21
07-01-2005 00:00,1435,2.796,136.99
06-01-2005 00:00,1125,2.796,104.08
05-01-2005 00:00,706,2.796,59.6
04-01-2005 00:00,680,2.796,53.6
03-01-2005 00:00,708,2.796,56.07
02-01-2005 00:00,737,2.796,58.62
01-01-2005 00:00,850,2.796,68.59
12-01-2004 00:00,762,2.796,60.83
11-01-2004 00:00,873,2.796,70.61
10-01-2004 00:00,1052,2.796,96.33
09-01-2004 00:00,1235,2.796,115.76
08-01-2004 00:00,1277,2.796,120.22
07-01-2004 00:00,1218,2.796,113.95
06-01-2004 00:00,1065,2.796,97.71
05-01-2004 00:00,726,2.796,61.72
04-01-2004 00:00,687,2.796,54.22
03-01-2004 00:00,695,2.796,54.92
02-01-2004 00:00,773,2.796,61.8
01-01-2004 00:00,871,2.796,70.44
12-01-2003 00:00,762,2.265,56.78
11-01-2003 00:00,782,2.265,58.44
10-01-2003 00:00,954,2.004,78.37
09-01-2003 00:00,1331,2.004,115.41
08-01-2003 00:00,1352,2.004,117.47
07-01-2003 00:00,1285,2.004,110.89
06-01-2003 00:00,1125,1.774,92.58
05-01-2003 00:00,848,1.774,66.01
04-01-2003 00:00,643,1.774,43.77
03-01-2003 00:00,801,1.774,56.08
02-01-2003 00:00,822,1.774,57.72
01-01-2003 00:00,858,1.774,60.52
12-01-2002 00:00,788,1.774,55.07
11-01-2002 00:00,717,1.774,49.53
10-01-2002 00:00,1047,1.774,85.1
09-01-2002 00:00,1376,1.774,116.66
08-01-2002 00:00,1303,1.774,109.66
07-01-2002 00:00,1224,1.774,102.08
06-01-2002 00:00,1091,1.774,89.32
05-01-2002 00:00,941,1.774,74.93
04-01-2002 00:00,689,1.774,47.35
03-01-2002 00:00,732,1.774,50.7
02-01-2002 00:00,799,1.774,55.92
01-01-2002 00:00,888,1.774,62.86
12-01-2001 00:00,762,2.682,59.96
11-01-2001 00:00,691,2.682,53.78
10-01-2001 00:00,885,2.682,77.59
09-01-2001 00:00,1334,2.682,124.75
08-01-2001 00:00,1539,2.682,146.28
07-01-2001 00:00,1320,2.682,123.28
06-01-2001 00:00,1138,2.682,104.16
05-01-2001 00:00,794,2.682,68.04
04-01-2001 00:00,727,2.682,56.91
03-01-2001 00:00,714,2.682,55.78
02-01-2001 00:00,855,2.682,68.05
01-01-2001 00:00,1019,2.211,77.52
12-01-2000 00:00,864,2.211,64.77
11-01-2000 00:00,804,2.211,59.83
10-01-2000 00:00,1029,1.635,81.94
09-01-2000 00:00,1368,1.635,113.99
08-01-2000 00:00,1493,1.635,125.81
07-01-2000 00:00,1442,1.372,117.2
06-01-2000 00:00,1221,1.372,96.88
05-01-2000 00:00,838,1.372,61.68
04-01-2000 00:00,715,1.372,46.5
03-01-2000 00:00,707,1.372,45.91
02-01-2000 00:00,766,1.372,50.27
01-01-2000 00:00,820,1.372,54.26
